rank,code,candidate_level,tcad_score,geometry_score,manufacturer,device_name,report_type,pixel_pitch_um,active_si_thickness_um,dti_type,dti_depth_um,dti_width_nm,transfer_gate_type,pixel_architecture,doping_table_count,doping_row_count,region_depth_count,html_snippet_count,pdf_snippet_count,source_html,source_pdf
99,DEP-2004-801,process_snippet_only,7,4,ON Semi,LI-AR0820-GMSL2_Front-Cam,DEP,2.1,2.9,partial_depth_back_dti,,,,four_shared,0,0,0,5,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/reports/032_DEP-2004-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/pdfs/032_DEP-2004-801/ON_Semiconductor_AR0820AT_DEP-2004-801.pdf
100,DEP-2004-802,process_snippet_only,7,4,Sony,IMX608,DEP,1.12,3.2,full_depth_front_dti,,,,quad_pixel,0,0,0,6,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/reports/033_DEP-2004-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/pdfs/033_DEP-2004-802/Sony_IMX608_BI_Stacked_CIS_DEP-2004-802.pdf
101,DEP-2403-801,process_snippet_only,7,4,OmniVision,OV50H,DEP,1.2,3.0,partial_depth_back_dti,,,,four_shared,0,0,0,6,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/reports/016_DEP-2403-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_dep_a6pf30000009PYHAA2/html/pdfs/016_DEP-2403-801/OmniVision_OV50H_DEP-2403-801.pdf
102,DEF-1807-801,geometry_plus_process_evidence,6,5,Sony,IMX307LQD-C,DEF,2.9,2.8,full_depth_front_dti,,,,standalone,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/134_DEF-1807-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/134_DEF-1807-801/Sony_IMX307_STARVIS_CIS_DEF-1807-801.pdf
103,DEF-1809-801,geometry_only,6,6,Samsung,S5K2P7,DEF,1.12,2.7,full_depth_front_dti,1.9,,,four_shared,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/132_DEF-1809-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/132_DEF-1809-801/Samsung_S5K2P7SQ_CIS_DEF-1809-801.pdf
104,DEF-1901-803,geometry_plus_process_evidence,6,5,Sony,PCT-AL10_Dual-Rear-Cam1_ISP,DEF,0.8,3.6,full_depth_front_dti,,,,quad_pixel,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_devices_a6pf30000000GqhAAE/html/reports/028_DEF-1901-803.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_devices_a6pf30000000GqhAAE/html/pdfs/028_DEF-1901-803/Sony_IMX586_Dual-Rear-Cam1_DEF-1901-803.pdf
105,DEF-1901-804,geometry_only,6,6,Samsung,S5KGM1,DEF,0.8,3.7,full_depth_front_dti,,,vertical_transfer_gate,four_shared,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/123_DEF-1901-804.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/123_DEF-1901-804/Samsung_S5KGM1SP_DEF-1901-804.pdf
106,DEF-1904-801,geometry_only,6,6,Sony,VOG-L29_Triple-Rear-Cam2-ISP,DEF,1.0,3.1,full_depth_front_dti,2.0,,,quad_pixel,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_devices_a6pf30000000GqhAAE/html/reports/026_DEF-1904-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_devices_a6pf30000000GqhAAE/html/pdfs/026_DEF-1904-801/Sony_IMX650_DEF-1904-801.pdf
107,DEF-1909-801,geometry_plus_process_evidence,6,5,OmniVision,OV24A1Q,DEF,0.9,3.0,partial_depth_back_dti,,,,four_shared,0,0,0,1,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/113_DEF-1909-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/113_DEF-1909-801/OmniVision_OV24A1Q_DEF-1909-801.pdf
108,DEF-1909-803,geometry_only,6,6,Sony,12MP Wide,DEF,1.4,3.5,full_depth_front_dti,2.3,,,dual_pixel,0,0,0,0,0,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/114_DEF-1909-803.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/114_DEF-1909-803/Sony iPhone 11_Rear 12 MP Wide-Angle_DEF-1909-803.pdf
