code,report_type,release_date,analysis_year,manufacturer,device_name,device_type,title,content_title,sensor_modality,pixel_pitch_um,resolution_mp,resolution_x,resolution_y,optical_format,active_si_thickness_um,optical_stack_height_um,cfa_thickness_um,cfa_thickness_min_um,cfa_thickness_max_um,ocl_pitch_um,color_filter_pitch_um,grid_pitch_um,die_area_mm2,die_size_text,package_dimensions_text,cis_foundry,cis_process_nm,isp_process_nm,pixel_beol_metal_pitch_nm,pixel_sharing,pixel_architecture,transistors_per_pixel,subpixels_per_pixel,illumination,shutter,transfer_gate_type,is_stacked,has_dbi,has_dti,dti_type,dti_depth_um,dti_width_um,dti_width_nm,dti_aspect_ratio,dti_fill_material,dti_liner_material,dti_biasing,cfa_pattern,microlens_type,grid_material,metal_stack,has_hdr,has_lofic,has_pdaf,source_html,source_pdf,stack_config,tcad_profile
DEF-1908-802,DEF,2019-09-24T00:00:00.000+00:00,2019,ON Semi,AR0221SR2C00SUEAH3-GEVB,CMOS Image Sensor,On Semi AR0221 Device Essentials Folder,,cmos_image_sensor,4.2,,,,"1/1.7""",3.5,2.3,,,,,,,,,,,,,,,two_shared,3.0,,back_illuminated,,,,,,,,,,,,,,bayer,gapless_ocl,,,true,,,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/115_DEF-1908-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/115_DEF-1908-802/ON_Semiconductor_AR0221_DEF-1908-802.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_1908_802_on_semi_ar0221sr2c00sueah3_gevb.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_1908_802_on_semi_ar0221sr2c00sueah3_gevb/profile.json
DEF-1909-801,DEF,2019-11-20T00:00:00.000+00:00,2019,OmniVision,OV24A1Q,CMOS Image Sensor,OmniVision OV24A1Q - Device Essentials Folder,,cmos_image_sensor,0.9,,,,"1/2.83""",3.0,1.7,,,,,,,,,,,,,,,four_shared,1.75,,back_illuminated,,,true,true,true,partial_depth_back_dti,,,,,,,,bayer,gapless_ocl,w,,,,,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/113_DEF-1909-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/113_DEF-1909-801/OmniVision_OV24A1Q_DEF-1909-801.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_1909_801_omnivision_ov24a1q.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_1909_801_omnivision_ov24a1q/profile.json
DEF-1909-803,DEF,2019-10-25T00:00:00.000+00:00,2019,Sony,12MP Wide,CMOS Image Sensor,Sony 12 MP CIS from Apple iPhone 11 Rear-Facing Camera Device Essentials,,cmos_image_sensor,1.4,12.0,,,,3.5,1.8,,,,,,,,,,,,,,,dual_pixel,,,back_illuminated,,,true,true,true,full_depth_front_dti,2.3,,,,,,,bayer,gapless_ocl,w,,,,,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/114_DEF-1909-803.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/114_DEF-1909-803/Sony iPhone 11_Rear 12 MP Wide-Angle_DEF-1909-803.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_1909_803_sony_12mp_wide.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_1909_803_sony_12mp_wide/profile.json
DEF-1911-802,DEF,2020-01-28T00:00:00.000+00:00,2020,Samsung,S5K231YX,,Samsung S5K231YX Dynamic Vision Sensor Device Essentials Folder,,,9.0,0.3,640,480,,,7.5,,,,,,,,,,,,,,,standalone,,,back_illuminated,,,true,,true,back_dti,,,,,,,,,ocl,w,,,,,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/reports/058_DEF-1911-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/pdfs/058_DEF-1911-802/Samsung_S5K231YX_DEF-1911-802.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_1911_802_samsung_s5k231yx.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_1911_802_samsung_s5k231yx/profile.json
DEF-1911-803,DEF,2020-01-15T00:00:00.000+00:00,2020,Samsung,S5KHMX,CMOS Image Sensor,Samsung S5KHMXSP ISOCELL Plus from Xioami Mi CC9 Pro Device Essentials Folder,,cmos_image_sensor,0.8,108.0,,,"1/1.33""",4.0,1.5,,,,,,,,,,,,,,,four_shared,5.0,,back_illuminated,,vertical_transfer_gate,,,true,full_depth_front_dti,,,,,polysilicon,,,tetracell_bayer,gapless_ocl,tin,,,,true,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/111_DEF-1911-803.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/111_DEF-1911-803/Samsung_S5KHMXSP_DEF-1911-803.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_1911_803_samsung_s5khmx.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_1911_803_samsung_s5khmx/profile.json
DEF-1912-801,DEF,2020-03-05T00:00:00.000+00:00,2020,ON Semi,LI-AR0820-GMSL2_Front-Cam,CMOS Image Sensor,ON Semiconductor AR0820 Device Essentials Folder,,cmos_image_sensor,2.1,8.3,,,"1/2""",,2.2,,,,,,,,,,,,,,,four_shared,1.75,,back_illuminated,,,true,true,true,partial_depth_back_dti,,,,,,,,,gapless_ocl,tin,,true,,,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/109_DEF-1912-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/109_DEF-1912-801/ON_Semiconductor_AR0820_DEF-1912-801.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_1912_801_on_semi_li_ar0820_gmsl2_front_cam.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_1912_801_on_semi_li_ar0820_gmsl2_front_cam/profile.json
DEF-2001-802,DEF,2020-03-18T00:00:00.000+00:00,2020,Canon,3862C002,Image Sensors,Canon 3U5MGXSBAI 5 MP RGB-NIR Global Shutter CIS Device Essentials Folder,,global_shutter_cis,3.4,5.0,,,"2/3""",,6.4,,,,,,,,,,,,,,,two_shared,5.0,,front_illuminated,global,,,,,,,,,,,,,,gapless_ocl,w,,,,,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/108_DEF-2001-802.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/108_DEF-2001-802/Canon_3U5MGXSBAI_DEF-2001-802.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_2001_802_canon_3862c002.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_2001_802_canon_3862c002/profile.json
DEF-2002-801,DEF,2020-04-06T00:00:00.000+00:00,2020,Samsung,S5KGH1,CMOS Image Sensor,Samsung S5KGH1 Device Essentials Folder,,cmos_image_sensor,0.7,,16,16,"1/2.65""",3.7,1.2,,,,,,,,,,,,,,,four_shared,75.0,,back_illuminated,,vertical_transfer_gate,true,,true,full_depth_front_dti,,0.092,92.0,,polysilicon,,,tetracell_bayer,gapless_ocl,tin,,,,true,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/107_DEF-2002-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/107_DEF-2002-801/Samsung_S5KGH1SM_DEF-2002-801.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_2002_801_samsung_s5kgh1.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_2002_801_samsung_s5kgh1/profile.json
DEF-2002-803,DEF,2020-05-01T00:00:00.000+00:00,2020,Sony,SM-G986N_Triple-Rear-Cam1_ISP,,Sony IMX555 Device Essentials Folder,,cmos_image_sensor,1.8,12.0,,,"1/1.76""",3.0,2.2,,0.45,0.58,,,,,,,,,,,,four_shared,,,back_illuminated,,,true,true,true,full_depth_front_dti,,,,,,,,bayer,gapless_ocl,tin,,,,true,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/reports/054_DEF-2002-803.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download_missing_def_a6pf30000000GqhAAE/html/pdfs/054_DEF-2002-803/Sony_IMX555_DEF-2002-803.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_2002_803_sony_sm_g986n_triple_rear_cam1_isp.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_2002_803_sony_sm_g986n_triple_rear_cam1_isp/profile.json
DEF-2003-801,DEF,2020-06-04T00:00:00.000+00:00,2020,OmniVision,OV48B,CMOS Image Sensor,OmniVision OV48B Device Essentials Folder,,cmos_image_sensor,0.8,48.0,,,"1/2""",3.0,1.4,,0.52,0.65,,,,,,,,,,,,four_shared,1.75,,back_illuminated,,vertical_transfer_gate,true,true,true,partial_depth_back_dti,1.9,,,,,,,bayer,gapless_ocl,tin,,,,true,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/reports/106_DEF-2003-801.html,/Users/seongcheoljeong/Sensor_DB_TechInsight/techinsights_html_download/html/pdfs/106_DEF-2003-801/OmniVision_OV48B_DEF-2003-801.pdf,/Users/seongcheoljeong/FDTD/sensor_db/generated_stack_configs/def_2003_801_omnivision_ov48b.json,/Users/seongcheoljeong/FDTD/sensor_db/generated_tcad_profiles/def_2003_801_omnivision_ov48b/profile.json
