code,manufacturer,device_name,report_type,readiness_level,readiness_score,candidate_level,pixel_pitch_um,pixel_pitch_source,active_si_um,active_si_source,dti_type,dti_depth_um,dti_depth_source,dti_width_um,photocathode_depth_um,p_well_depth_um,pinning_depth_um,transfer_gate_type,transfer_gate_depth_um,fd_depth_um,optical_stack_um,doping_model_kind,sims_seed_profile,recommended_tcad_profile,recommended_profile_kind,model_json
DEP-2207-801,STMicroelectronics,55G0AB,DEP,structure_ready_high,67.6,geometry_plus_process_evidence,2.6,extracted,4.1,extracted,full_depth_front_dti,5.9,extracted,0.19,3.608,0.656,0.1,unknown,0.0,0.2255,3.6,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/dep_2207_801_stmicroelectronics_55g0ab/profile.json,techinsights_proxy_profile,models/dep_2207_801_stmicroelectronics_55g0ab.json
DEP-1810-801,OmniVision,OS05A20,DEP,structure_ready_high,67.6,geometry_plus_process_evidence,2.0,extracted,3.6,extracted,full_depth_front_dti,2.2,extracted,0.19,3.168,0.576,0.1,unknown,0.0,0.198,2.5,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/dep_1810_801_omnivision_os05a20/profile.json,techinsights_proxy_profile,models/dep_1810_801_omnivision_os05a20.json
DEF-2204-804,Samsung,S5KHM6,DEF,structure_ready_high,67.6,geometry_only,0.64,extracted,3.6,extracted,full_depth_front_dti,3.528,inferred_empirical,0.11,3.168,0.576,0.1,vertical_transfer_gate,0.44,0.198,1.3,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2204_804_samsung_s5khm6/profile.json,techinsights_proxy_profile,models/def_2204_804_samsung_s5khm6.json
DEF-2002-801,Samsung,S5KGH1,DEF,structure_ready_high,67.6,geometry_only,0.7,extracted,3.7,extracted,full_depth_front_dti,3.626,inferred_empirical,0.092,3.256,0.592,0.1,vertical_transfer_gate,0.44,0.2035,1.2,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2002_801_samsung_s5kgh1/profile.json,techinsights_proxy_profile,models/def_2002_801_samsung_s5kgh1.json
DEP-2202-801,Sony,IMX636AAMR-ES,DEP,structure_ready_high,66.8,geometry_plus_process_evidence,4.86,extracted,6.8,extracted,full_depth_front_dti,0.57,extracted,0.141,5.984,0.8,0.1,unknown,0.0,0.28,4.2,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/dep_2202_801_sony_imx636aamr_es/profile.json,techinsights_proxy_profile,models/dep_2202_801_sony_imx636aamr_es.json
DEF-2603-803,OmniVision,L3A_Triple-Gimbal-Cam1_CIS,DEF,structure_ready_high,66.8,geometry_plus_process_evidence,1.45,extracted,3.0,extracted,partial_depth_back_dti,1.9,extracted,0.19,2.64,0.48,0.1,unknown,0.0,0.165,1.9,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2603_803_omnivision_l3a_triple_gimbal_cam1_cis/profile.json,techinsights_proxy_profile,models/def_2603_803_omnivision_l3a_triple_gimbal_cam1_cis.json
DEF-2603-802,OmniVision,OV50X,DEF,structure_ready_high,66.8,geometry_plus_process_evidence,1.6,extracted,3.0,extracted,partial_depth_back_dti,2.0,extracted,0.19,2.64,0.48,0.1,unknown,0.0,0.165,2.8,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2603_802_omnivision_ov50x/profile.json,techinsights_proxy_profile,models/def_2603_802_omnivision_ov50x.json
DEF-2511-803,STMicroelectronics,56G812A1A_CIS,DEF,structure_ready_high,66.8,geometry_plus_process_evidence,2.9,extracted,9.7,extracted,full_depth_front_dti,9.4,extracted,0.22,8.536,0.8,0.1,unknown,0.0,0.28,2.8,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2511_803_stmicroelectronics_56g812a1a_cis/profile.json,techinsights_proxy_profile,models/def_2511_803_stmicroelectronics_56g812a1a_cis.json
DEF-2509-802,Sony,IMX914,DEF,structure_ready_high,66.8,geometry_plus_process_evidence,1.0,extracted,3.6,extracted,full_depth_front_dti,2.4,extracted,0.141,3.168,0.576,0.1,unknown,0.0,0.198,1.8,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2509_802_sony_imx914/profile.json,techinsights_proxy_profile,models/def_2509_802_sony_imx914.json
DEF-2405-802,OmniVision,OV50K,DEF,structure_ready_high,66.8,geometry_plus_process_evidence,1.2,extracted,2.9,extracted,partial_depth_back_dti,2.0,extracted,0.19,2.552,0.464,0.1,unknown,0.0,0.1595,2.4,estimated_archetype_only,,/Users/seongcheoljeong/FDTD/image_sensor_db/generated_tcad_profiles/def_2405_802_omnivision_ov50k/profile.json,techinsights_proxy_profile,models/def_2405_802_omnivision_ov50k.json
